Type,Name,Website,Address
fast_food,McDonald's,http://www.mcdonalds.com/," West South Street, Mooresville, Morgan County, Indiana, 46158, United States"
pub,Upland Tavern,Not Provided," North Main Street, Upland, Grant County, Indiana, 46989, United States"
fast_food,Subway,Not Provided," Anson Street, Upland, Grant County, Indiana, 46989, United States"
restaurant,Pizza Hut,Not Provided," Lakeville Crossing, Westfield, Hamilton County, Indiana, 46074, United States"
fast_food,Subway,Not Provided," Straughn Lane, Westfield, Hamilton County, Indiana, 46074, United States"
pub,The Mill Tavern,Not Provided," Straughn Lane, Westfield, Hamilton County, Indiana, 46074, United States"
cafe,Starbucks,Not Provided," Lakeville Crossing, Westfield, Hamilton County, Indiana, 46074, United States"
fast_food,Subway,Not Provided," East 6th Street, Bloomington, Monroe County, Indiana, 47408, United States"
restaurant,Opie Taylor's,Not Provided," East Kirkwood Avenue, Bloomington, Monroe County, Indiana, 47408, United States"
restaurant,Bloomington Sandwich Company,Not Provided," 113, East Kirkwood Avenue, Bloomington, Monroe County, Indiana, 47408, United States"
restaurant,Dat's,Not Provided," South Grant Street, Bloomington, Monroe County, Indiana, 47401, United States"
restaurant,Chomp,http://www.chompbloomington.com/," 208, South Dunn Street, Bloomington, Monroe County, Indiana, 47401, United States"
restaurant,Sweet Grass Restaurant,Not Provided," Patterson Road, Bloomington, Monroe County, Indiana, 47402, United States"
pub,Jacks Lounge,Not Provided," West Main Street, Mitchell, Lawrence County, Indiana, 47446, United States"
ice_cream,Not Provided,Not Provided," South Old State Road 37, Clear Creek, Monroe County, Indiana, 47403, United States"
restaurant,Baldy's Pizza,Not Provided," South Old State Road 37, Clear Creek, Monroe County, Indiana, 47403, United States"
restaurant,Not Provided,Not Provided," Hoosier Avenue, Oolitic, Lawrence County, Indiana, 47451, United States"
cafe,Starbucks,https://www.starbucks.com/," 1140, West Oak Street, Zionsville, Boone County, Indiana, 46077, United States"
restaurant,Los Cuates,http://www.loscuatesmexicanrestaurant.com/," 6429, East Washington Street, Irvington, Indianapolis, Marion County, Indiana, 46219, United States"
fast_food,Domino's,Not Provided," East Greenview Drive, Greensburg, Decatur County, Indiana, 47240, United States"
restaurant,AH*Z,Not Provided," South Chauncey Avenue, West Lafayette, Tippecanoe County, Indiana, 47906, United States"
fast_food,Dairy Queen,Not Provided," South Chauncey Avenue, West Lafayette, Tippecanoe County, Indiana, 47906, United States"
restaurant,Grindstone Charley's,http://www.grindstonesrestaurantandpub.com," Crawfordsville Road, Indianapolis, Marion County, Indiana, 46224, United States"
restaurant,Outback Steakhouse,https://www.outback.com/," I 70, Indianapolis, Marion County, Indiana, 46229, United States"
fast_food,Papa John's,Not Provided," 435 N, North Shadeland Avenue, Indianapolis, Marion County, Indiana, 46226, United States"
